Epoch,Training_Loss,Validation_Loss,Avg_BPM_Error,Max_BPM_Error,Learning_Rate
1,16172.023681640625,16597.400390625,125.33325,172.3984,0.0005
2,15469.744018554688,16557.578125,125.17252,172.25478,0.0005
3,15470.776245117188,16294.677734375,124.11024,171.26672,0.0005
4,15479.572875976562,15642.2734375,121.452225,168.62036,0.0005
5,14140.498779296875,14155.1591796875,115.15121,162.46292,0.0005
6,12667.728515625,11219.4892578125,101.44691,149.95386,0.0005
7,8046.1429443359375,6395.82373046875,73.09586,125.458084,0.0005
8,6046.133117675781,1917.989501953125,36.453777,82.97293,0.0005
9,3110.677993774414,1040.913330078125,27.971218,52.42959,0.0005
10,3280.7321166992188,1216.12451171875,30.215897,64.86688,0.0005
11,3247.872543334961,1588.863037109375,33.555244,72.14543,0.0005
12,2121.8739318847656,1440.996826171875,32.336033,69.28757,0.0005
13,1888.7354431152344,1015.8873901367188,27.86932,57.953926,0.0005
14,2406.409812927246,987.7588500976562,27.551197,56.996674,0.0005
15,2080.2293853759766,1187.81640625,29.87688,63.854256,0.0005
16,2363.5238037109375,1580.184814453125,33.72131,73.30386,0.0005
17,2769.885414123535,1610.5469970703125,34.097576,74.89761,0.0005
18,2468.0833435058594,1243.3671875,30.537624,66.41401,0.0005
19,2705.4171667099,1331.1737060546875,31.47011,68.68452,0.0005
20,2014.7438201904297,1079.666015625,28.768955,60.856606,0.0005
21,2206.0134410858154,1027.90869140625,28.21646,58.81897,0.00025
22,2118.2515029907227,1111.4608154296875,28.908497,61.81366,0.00025
23,1991.5372791290283,1105.1839599609375,28.846102,61.234016,0.00025
24,2002.0711364746094,1125.215087890625,29.087301,61.595345,0.00025
25,2114.3377990722656,1101.3583984375,28.772,60.722984,0.00025
